protein,freq,pdbid,study,study_type,study_name
APOB,3,,brca_bccrc,breast,Breast Invasive Carcinoma
C11orf30,3,,brca_bccrc,breast,Breast Invasive Carcinoma
CELSR1,3,,brca_bccrc,breast,Breast Invasive Carcinoma
PRKCQ,3,1XJD,brca_bccrc,breast,Breast Invasive Carcinoma
TP53,41,1A1U,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
LAMA1,35,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
SCAMP3,32,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ULK2,31,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
NOTCH1,31,1PB5,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
NRG1,31,1HAE,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
COL9A1,30,2UUR,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
WBSCR17,28,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
PLEC,27,1MB8,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
RBFOX1,26,2ERR,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
KALRN,26,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
DST,26,3GJO,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
CCSER1,25,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
FAM178B,25,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
UBA7,24,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ABCD4,24,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
TTN,24,1BPV,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
SHOC2,24,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
PRG4,23,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
TTC7B,22,5DSE,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
VCPIP1,22,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
SDK1,22,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
AFF2,22,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
FAM47C,22,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
WNK1,20,4PWN,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ZNF415,20,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
TBC1D5,20,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ALS2CR12,20,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
MACROD2,20,4IQY,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
NEDD9,20,2L81,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
GDPD4,20,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
USP34,19,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ARHGEF4,19,2DX1,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
CCER1,19,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
LGALS9,19,2EAK,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ARAP2,18,1X40,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
RTEL1,18,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
NLRP5,18,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
KCNT2,18,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
COG2,17,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
HPS3,17,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ESPL1,17,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
GPR179,17,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
CD36,17,5LGD,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
AHNAK2,17,4CN0,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
GYS1,16,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
MAGEA1,16,1W72,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
C2orf78,16,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
ARMC12,16,,brca_bccrc_xenograft_2014,breast,Breast cancer patient xenografts
TP53,31,1A1U,brca_broad,breast,Breast Invasive Carcinoma
PIK3CA,31,2ENQ,brca_broad,breast,Breast Invasive Carcinoma
ZBED4,19,,brca_broad,breast,Breast Invasive Carcinoma
TTN,17,1BPV,brca_broad,breast,Breast Invasive Carcinoma
BZRAP1,11,,brca_broad,breast,Breast Invasive Carcinoma
MUC2,11,,brca_broad,breast,Breast Invasive Carcinoma
MUC16,8,,brca_broad,breast,Breast Invasive Carcinoma
DST,8,3GJO,brca_broad,breast,Breast Invasive Carcinoma
KMT2C,8,2YSM,brca_broad,breast,Breast Invasive Carcinoma
PCGF2,7,,brca_broad,breast,Breast Invasive Carcinoma
DMD,7,1DXX,brca_broad,breast,Breast Invasive Carcinoma
NSD1,7,3OOI,brca_broad,breast,Breast Invasive Carcinoma
CSMD3,7,,brca_broad,breast,Breast Invasive Carcinoma
WEE1,7,1X8B,brca_broad,breast,Breast Invasive Carcinoma
PRDM16,6,2N1I,brca_broad,breast,Breast Invasive Carcinoma
SYNE1,6,4DXR,brca_broad,breast,Breast Invasive Carcinoma
SPEN,6,1OW1,brca_broad,breast,Breast Invasive Carcinoma
AKT1,6,1H10,brca_broad,breast,Breast Invasive Carcinoma
FLG,6,4PCW,brca_broad,breast,Breast Invasive Carcinoma
RYR3,6,4ERV,brca_broad,breast,Breast Invasive Carcinoma
MAP3K1,5,,brca_broad,breast,Breast Invasive Carcinoma
TMEM132D,5,,brca_broad,breast,Breast Invasive Carcinoma
POMK,5,,brca_broad,breast,Breast Invasive Carcinoma
CACNA1E,5,3BXL,brca_broad,breast,Breast Invasive Carcinoma
SI,5,3LPO,brca_broad,breast,Breast Invasive Carcinoma
PLEC,5,1MB8,brca_broad,breast,Breast Invasive Carcinoma
GPR112,5,,brca_broad,breast,Breast Invasive Carcinoma
OBSCN,5,1V1C,brca_broad,breast,Breast Invasive Carcinoma
SCN3A,4,,brca_broad,breast,Breast Invasive Carcinoma
SRRM2,4,,brca_broad,breast,Breast Invasive Carcinoma
KIF26B,4,,brca_broad,breast,Breast Invasive Carcinoma
ATM,4,,brca_broad,breast,Breast Invasive Carcinoma
GATA3,4,4HC7,brca_broad,breast,Breast Invasive Carcinoma
COL11A2,4,,brca_broad,breast,Breast Invasive Carcinoma
TET3,4,4Z3C,brca_broad,breast,Breast Invasive Carcinoma
ITPR3,4,,brca_broad,breast,Breast Invasive Carcinoma
CBFB,4,1CL3,brca_broad,breast,Breast Invasive Carcinoma
PRDM14,4,,brca_broad,breast,Breast Invasive Carcinoma
AGRN,4,,brca_broad,breast,Breast Invasive Carcinoma
HUWE1,4,2EKK,brca_broad,breast,Breast Invasive Carcinoma
TRPM3,4,,brca_broad,breast,Breast Invasive Carcinoma
DNAH2,4,,brca_broad,breast,Breast Invasive Carcinoma
ADAMTS7,4,,brca_broad,breast,Breast Invasive Carcinoma
COL7A1,4,,brca_broad,breast,Breast Invasive Carcinoma
MDN1,4,,brca_broad,breast,Breast Invasive Carcinoma
HMCN1,4,,brca_broad,breast,Breast Invasive Carcinoma
HLA-A,4,2XPG,brca_broad,breast,Breast Invasive Carcinoma
DNAH8,4,,brca_broad,breast,Breast Invasive Carcinoma
HDLBP,4,1VIG,brca_broad,breast,Breast Invasive Carcinoma
EGFR,4,1DNQ,brca_broad,breast,Breast Invasive Carcinoma
PIK3CA,928,2ENQ,brca_metabric,breast,Breast Cancer
AHNAK2,710,4CN0,brca_metabric,breast,Breast Cancer
TP53,687,1A1U,brca_metabric,breast,Breast Cancer
MUC16,532,,brca_metabric,breast,Breast Cancer
SYNE1,373,4DXR,brca_metabric,breast,Breast Cancer
KMT2C,328,2YSM,brca_metabric,breast,Breast Cancer
MAP3K1,309,,brca_metabric,breast,Breast Cancer
AHNAK,264,4DRW,brca_metabric,breast,Breast Cancer
GATA3,255,4HC7,brca_metabric,breast,Breast Cancer
DNAH11,237,,brca_metabric,breast,Breast Cancer
DNAH2,229,,brca_metabric,breast,Breast Cancer
KMT2D,227,3UVK,brca_metabric,breast,Breast Cancer
HERC2,223,2KEO,brca_metabric,breast,Breast Cancer
RYR2,200,4JKQ,brca_metabric,breast,Breast Cancer
USH2A,197,,brca_metabric,breast,Breast Cancer
CDH1,189,1O6S,brca_metabric,breast,Breast Cancer
DNAH5,188,,brca_metabric,breast,Breast Cancer
NOTCH1,181,1PB5,brca_metabric,breast,Breast Cancer
PDE4DIP,168,,brca_metabric,breast,Breast Cancer
TG,164,,brca_metabric,breast,Breast Cancer
COL6A3,157,1KNT,brca_metabric,breast,Breast Cancer
BIRC6,152,3CEG,brca_metabric,breast,Breast Cancer
NCOR2,150,1KKQ,brca_metabric,breast,Breast Cancer
AKAP9,148,,brca_metabric,breast,Breast Cancer
ARID1A,145,1RYU,brca_metabric,breast,Breast Cancer
UTRN,140,1BHD,brca_metabric,breast,Breast Cancer
TBX3,133,1H6F,brca_metabric,breast,Breast Cancer
LAMA2,133,4YEP,brca_metabric,breast,Breast Cancer
STAB2,120,,brca_metabric,breast,Breast Cancer
COL22A1,114,,brca_metabric,breast,Breast Cancer
COL12A1,113,,brca_metabric,breast,Breast Cancer
SHANK2,110,,brca_metabric,breast,Breast Cancer
THADA,106,,brca_metabric,breast,Breast Cancer
MYH9,105,2LNK,brca_metabric,breast,Breast Cancer
ATR,100,,brca_metabric,breast,Breast Cancer
CBFB,98,1CL3,brca_metabric,breast,Breast Cancer
NCOR1,96,2EQR,brca_metabric,breast,Breast Cancer
ARID1B,94,2CXY,brca_metabric,breast,Breast Cancer
EP300,93,1L3E,brca_metabric,breast,Breast Cancer
NF1,92,1NF1,brca_metabric,breast,Breast Cancer
AKT1,92,1H10,brca_metabric,breast,Breast Cancer
PTPRD,89,1X5Z,brca_metabric,breast,Breast Cancer
PTEN,88,1D5R,brca_metabric,breast,Breast Cancer
LAMB3,86,,brca_metabric,breast,Breast Cancer
RUNX1,85,1CMO,brca_metabric,breast,Breast Cancer
ERBB2,84,1MFG,brca_metabric,breast,Breast Cancer
SETD2,84,2A7O,brca_metabric,breast,Breast Cancer
SETD1A,81,3S8S,brca_metabric,breast,Breast Cancer
ROS1,79,3ZBF,brca_metabric,breast,Breast Cancer
THSD7A,77,,brca_metabric,breast,Breast Cancer
TTN,39,1BPV,brca_sanger,breast,Breast Invasive Carcinoma
PIK3CA,35,2ENQ,brca_sanger,breast,Breast Invasive Carcinoma
TP53,30,1A1U,brca_sanger,breast,Breast Invasive Carcinoma
GATA3,16,4HC7,brca_sanger,breast,Breast Invasive Carcinoma
MUC16,15,,brca_sanger,breast,Breast Invasive Carcinoma
KMT2C,12,2YSM,brca_sanger,breast,Breast Invasive Carcinoma
DST,10,3GJO,brca_sanger,breast,Breast Invasive Carcinoma
SYNE1,9,4DXR,brca_sanger,breast,Breast Invasive Carcinoma
CDH1,9,1O6S,brca_sanger,breast,Breast Invasive Carcinoma
HYDIN,9,2E6J,brca_sanger,breast,Breast Invasive Carcinoma
MAP3K1,9,,brca_sanger,breast,Breast Invasive Carcinoma
MTMR4,9,,brca_sanger,breast,Breast Invasive Carcinoma
FSIP2,8,,brca_sanger,breast,Breast Invasive Carcinoma
DNAH11,8,,brca_sanger,breast,Breast Invasive Carcinoma
RYR3,7,4ERV,brca_sanger,breast,Breast Invasive Carcinoma
AHNAK,7,4DRW,brca_sanger,breast,Breast Invasive Carcinoma
STAB2,7,,brca_sanger,breast,Breast Invasive Carcinoma
NCOR1,7,2EQR,brca_sanger,breast,Breast Invasive Carcinoma
BIRC6,7,3CEG,brca_sanger,breast,Breast Invasive Carcinoma
DNAH3,7,,brca_sanger,breast,Breast Invasive Carcinoma
VPS13C,6,,brca_sanger,breast,Breast Invasive Carcinoma
LRRC7,6,,brca_sanger,breast,Breast Invasive Carcinoma
MYH2,6,,brca_sanger,breast,Breast Invasive Carcinoma
PKHD1L1,6,,brca_sanger,breast,Breast Invasive Carcinoma
GPR112,6,,brca_sanger,breast,Breast Invasive Carcinoma
EFCAB5,6,,brca_sanger,breast,Breast Invasive Carcinoma
DIDO1,6,2M3H,brca_sanger,breast,Breast Invasive Carcinoma
PCLO,6,1UJD,brca_sanger,breast,Breast Invasive Carcinoma
DNAH8,6,,brca_sanger,breast,Breast Invasive Carcinoma
HEATR1,5,,brca_sanger,breast,Breast Invasive Carcinoma
TG,5,,brca_sanger,breast,Breast Invasive Carcinoma
ABCA13,5,,brca_sanger,breast,Breast Invasive Carcinoma
FAM135B,5,,brca_sanger,breast,Breast Invasive Carcinoma
MTHFR,5,,brca_sanger,breast,Breast Invasive Carcinoma
USP32,5,,brca_sanger,breast,Breast Invasive Carcinoma
CSMD1,5,2EHF,brca_sanger,breast,Breast Invasive Carcinoma
SYCP2,5,,brca_sanger,breast,Breast Invasive Carcinoma
HUWE1,5,2EKK,brca_sanger,breast,Breast Invasive Carcinoma
DNAH6,5,,brca_sanger,breast,Breast Invasive Carcinoma
SNAP91,5,,brca_sanger,breast,Breast Invasive Carcinoma
MAP2K4,5,3ALN,brca_sanger,breast,Breast Invasive Carcinoma
ANKRD30A,5,,brca_sanger,breast,Breast Invasive Carcinoma
SYNE2,5,4DXS,brca_sanger,breast,Breast Invasive Carcinoma
HERC1,5,4O2W,brca_sanger,breast,Breast Invasive Carcinoma
NBAS,5,,brca_sanger,breast,Breast Invasive Carcinoma
GPR98,5,,brca_sanger,breast,Breast Invasive Carcinoma
AKT1,5,1H10,brca_sanger,breast,Breast Invasive Carcinoma
TMEM132B,5,,brca_sanger,breast,Breast Invasive Carcinoma
DNAH2,5,,brca_sanger,breast,Breast Invasive Carcinoma
PRRC2B,5,,brca_sanger,breast,Breast Invasive Carcinoma
PIK3CA,379,2ENQ,brca_tcga,breast,Breast Invasive Carcinoma
TTN,356,1BPV,brca_tcga,breast,Breast Invasive Carcinoma
TP53,324,1A1U,brca_tcga,breast,Breast Invasive Carcinoma
MUC16,151,,brca_tcga,breast,Breast Invasive Carcinoma
CDH1,121,1O6S,brca_tcga,breast,Breast Invasive Carcinoma
GATA3,105,4HC7,brca_tcga,breast,Breast Invasive Carcinoma
MAP3K1,104,,brca_tcga,breast,Breast Invasive Carcinoma
MUC12,101,,brca_tcga,breast,Breast Invasive Carcinoma
KMT2C,92,2YSM,brca_tcga,breast,Breast Invasive Carcinoma
MUC4,91,,brca_tcga,breast,Breast Invasive Carcinoma
RYR2,76,4JKQ,brca_tcga,breast,Breast Invasive Carcinoma
SYNE1,74,4DXR,brca_tcga,breast,Breast Invasive Carcinoma
DST,68,3GJO,brca_tcga,breast,Breast Invasive Carcinoma
FLG,67,4PCW,brca_tcga,breast,Breast Invasive Carcinoma
HMCN1,66,,brca_tcga,breast,Breast Invasive Carcinoma
DMD,64,1DXX,brca_tcga,breast,Breast Invasive Carcinoma
RYR3,63,4ERV,brca_tcga,breast,Breast Invasive Carcinoma
FCGBP,63,,brca_tcga,breast,Breast Invasive Carcinoma
OBSCN,61,1V1C,brca_tcga,breast,Breast Invasive Carcinoma
MUC5B,60,,brca_tcga,breast,Breast Invasive Carcinoma
USH2A,59,,brca_tcga,breast,Breast Invasive Carcinoma
SYNE2,59,4DXS,brca_tcga,breast,Breast Invasive Carcinoma
SPEN,58,1OW1,brca_tcga,breast,Breast Invasive Carcinoma
AHNAK,54,4DRW,brca_tcga,breast,Breast Invasive Carcinoma
NEB,53,1ARK,brca_tcga,breast,Breast Invasive Carcinoma
HRNR,52,,brca_tcga,breast,Breast Invasive Carcinoma
MUC17,51,,brca_tcga,breast,Breast Invasive Carcinoma
CROCCP2,51,,brca_tcga,breast,Breast Invasive Carcinoma
XIRP2,51,4F14,brca_tcga,breast,Breast Invasive Carcinoma
AHNAK2,49,4CN0,brca_tcga,breast,Breast Invasive Carcinoma
ABCA13,47,,brca_tcga,breast,Breast Invasive Carcinoma
UBR4,47,,brca_tcga,breast,Breast Invasive Carcinoma
RYR1,47,,brca_tcga,breast,Breast Invasive Carcinoma
SPTA1,47,1OWA,brca_tcga,breast,Breast Invasive Carcinoma
APOB,47,,brca_tcga,breast,Breast Invasive Carcinoma
CSMD1,46,2EHF,brca_tcga,breast,Breast Invasive Carcinoma
FAT3,46,,brca_tcga,breast,Breast Invasive Carcinoma
HUWE1,46,2EKK,brca_tcga,breast,Breast Invasive Carcinoma
MXRA5,45,,brca_tcga,breast,Breast Invasive Carcinoma
LRP2,45,2M0P,brca_tcga,breast,Breast Invasive Carcinoma
MDN1,45,,brca_tcga,breast,Breast Invasive Carcinoma
ZFHX4,45,,brca_tcga,breast,Breast Invasive Carcinoma
HYDIN,44,2E6J,brca_tcga,breast,Breast Invasive Carcinoma
PCLO,44,1UJD,brca_tcga,breast,Breast Invasive Carcinoma
CMYA5,44,,brca_tcga,breast,Breast Invasive Carcinoma
NCOR1,44,2EQR,brca_tcga,breast,Breast Invasive Carcinoma
MACF1,43,4Z6G,brca_tcga,breast,Breast Invasive Carcinoma
GPR112,42,,brca_tcga,breast,Breast Invasive Carcinoma
GPR98,41,,brca_tcga,breast,Breast Invasive Carcinoma
RNF213,41,,brca_tcga,breast,Breast Invasive Carcinoma
PIK3CA,320,2ENQ,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
TP53,291,1A1U,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
TTN,238,1BPV,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MUC16,121,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
GATA3,108,4HC7,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
CDH1,108,1O6S,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MAP3K1,104,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MUC4,83,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
KMT2C,76,2YSM,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MUC12,68,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
SYNE1,60,4DXR,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
FLG,58,4PCW,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
RYR2,56,4JKQ,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
SPEN,54,1OW1,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
OBSCN,53,1V1C,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
RYR3,53,4ERV,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
USH2A,51,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MUC5B,49,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
HMCN1,48,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
NEB,48,1ARK,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
DMD,47,1DXX,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
NCOA3,45,1KBH,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
PTEN,45,1D5R,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
ABCA13,43,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
AHNAK2,42,4CN0,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
NCOR1,42,2EQR,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
TBP,42,1C9B,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
SYNE2,42,4DXS,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
ZFHX4,41,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
FCGBP,40,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
FAT3,40,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MDN1,39,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
MUC17,39,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
RNF213,38,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
APOB,38,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
LRP2,38,2M0P,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
SPTA1,38,1OWA,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
RUNX1,37,1CMO,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
ARID1A,37,1RYU,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
XIRP2,37,4F14,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
HUWE1,37,2EKK,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
KMT2D,35,3UVK,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
RYR1,35,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
HYDIN,35,2E6J,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
HRNR,34,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
FOXA1,34,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
ZNF384,34,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
LRP1,34,1CR8,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
CSMD2,33,,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
CHD4,33,1MM2,brca_tcga_pub2015,breast,Breast Invasive Carcinoma
PIK3CA,208,2ENQ,brca_tcga_pub,breast,Breast Invasive Carcinoma
TP53,198,1A1U,brca_tcga_pub,breast,Breast Invasive Carcinoma
TTN,116,1BPV,brca_tcga_pub,breast,Breast Invasive Carcinoma
MAP3K1,67,,brca_tcga_pub,breast,Breast Invasive Carcinoma
MUC16,62,,brca_tcga_pub,breast,Breast Invasive Carcinoma
GATA3,60,4HC7,brca_tcga_pub,breast,Breast Invasive Carcinoma
KMT2C,41,2YSM,brca_tcga_pub,breast,Breast Invasive Carcinoma
RYR2,37,4JKQ,brca_tcga_pub,breast,Breast Invasive Carcinoma
CROCCP2,36,,brca_tcga_pub,breast,Breast Invasive Carcinoma
USH2A,34,,brca_tcga_pub,breast,Breast Invasive Carcinoma
CDH1,34,1O6S,brca_tcga_pub,breast,Breast Invasive Carcinoma
OBSCN,33,1V1C,brca_tcga_pub,breast,Breast Invasive Carcinoma
MUC4,33,,brca_tcga_pub,breast,Breast Invasive Carcinoma
FLG,30,4PCW,brca_tcga_pub,breast,Breast Invasive Carcinoma
CSMD1,29,2EHF,brca_tcga_pub,breast,Breast Invasive Carcinoma
BRCA2,25,1N0W,brca_tcga_pub,breast,Breast Invasive Carcinoma
SPEN,24,1OW1,brca_tcga_pub,breast,Breast Invasive Carcinoma
RYR3,24,4ERV,brca_tcga_pub,breast,Breast Invasive Carcinoma
SYNE1,24,4DXR,brca_tcga_pub,breast,Breast Invasive Carcinoma
MUC5B,23,,brca_tcga_pub,breast,Breast Invasive Carcinoma
MUC17,23,,brca_tcga_pub,breast,Breast Invasive Carcinoma
MAP2K4,22,3ALN,brca_tcga_pub,breast,Breast Invasive Carcinoma
ATM,22,,brca_tcga_pub,breast,Breast Invasive Carcinoma
FAT3,22,,brca_tcga_pub,breast,Breast Invasive Carcinoma
SSPO,22,,brca_tcga_pub,breast,Breast Invasive Carcinoma
SYNE2,22,4DXS,brca_tcga_pub,breast,Breast Invasive Carcinoma
AHNAK2,21,4CN0,brca_tcga_pub,breast,Breast Invasive Carcinoma
LRP2,21,2M0P,brca_tcga_pub,breast,Breast Invasive Carcinoma
BRCA1,21,1JM7,brca_tcga_pub,breast,Breast Invasive Carcinoma
HMCN1,21,,brca_tcga_pub,breast,Breast Invasive Carcinoma
APOB,20,,brca_tcga_pub,breast,Breast Invasive Carcinoma
ZFHX4,20,,brca_tcga_pub,breast,Breast Invasive Carcinoma
RP11-32B5.7,19,,brca_tcga_pub,breast,Breast Invasive Carcinoma
RUNX1,19,1CMO,brca_tcga_pub,breast,Breast Invasive Carcinoma
PTEN,19,1D5R,brca_tcga_pub,breast,Breast Invasive Carcinoma
DMD,19,1DXX,brca_tcga_pub,breast,Breast Invasive Carcinoma
NCOR1,19,2EQR,brca_tcga_pub,breast,Breast Invasive Carcinoma
NEB,19,1ARK,brca_tcga_pub,breast,Breast Invasive Carcinoma
SPTA1,19,1OWA,brca_tcga_pub,breast,Breast Invasive Carcinoma
MUC2,18,,brca_tcga_pub,breast,Breast Invasive Carcinoma
UBR4,18,,brca_tcga_pub,breast,Breast Invasive Carcinoma
PLEC,18,1MB8,brca_tcga_pub,breast,Breast Invasive Carcinoma
HYDIN,18,2E6J,brca_tcga_pub,breast,Breast Invasive Carcinoma
RELN,17,,brca_tcga_pub,breast,Breast Invasive Carcinoma
XIRP2,17,4F14,brca_tcga_pub,breast,Breast Invasive Carcinoma
RYR1,17,,brca_tcga_pub,breast,Breast Invasive Carcinoma
SPI1,17,,brca_tcga_pub,breast,Breast Invasive Carcinoma
TENM1,16,,brca_tcga_pub,breast,Breast Invasive Carcinoma
NF1,16,1NF1,brca_tcga_pub,breast,Breast Invasive Carcinoma
TTN,99,1BPV,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
TP53,75,1A1U,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
MUC16,69,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
CTNNB1,56,1G3J,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
PCLO,39,1UJD,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
GPR98,35,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
HMCN1,35,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
MUC4,32,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
RYR2,31,4JKQ,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
DST,29,3GJO,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
OBSCN,29,1V1C,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
DNAH5,27,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
HYDIN,27,2E6J,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
APOB,25,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
LRP1B,25,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
SYNE1,25,4DXR,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
XIRP2,24,4F14,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
ZNF208,24,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
FLG,24,4PCW,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
FBN2,23,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
PRUNE2,22,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
VCAN,21,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
CSMD3,21,,lihc_amc_prv,liver,"Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)"
